run_id,repetition,treatment,mode,seed,tick,size,density,similar_wanted,income_gap,use_affordability,population,unhappy_count,percent_similar,percent_unhappy,moved_count,stuck_unhappy,stuck_unhappy_fraction,no_movement_ticks,converged,termination_reason,isolation_blue,isolation_orange,dissimilarity,mean_rent_blue,mean_rent_orange
single,0,,extension,1001,0,51,80.0,30.0,1.0,true,2109,545,49.555329,25.841631,0,0,0.000000,0,false,running,50.115340,48.982601,0.188339,28.554589,29.001306
single,0,,extension,1001,1,51,80.0,30.0,1.0,true,2109,243,57.783418,11.522048,522,23,0.010906,0,false,running,56.908463,58.623549,0.280298,27.456244,24.265451
single,0,,extension,1001,2,51,80.0,30.0,1.0,true,2109,155,63.606697,7.349455,230,13,0.006164,0,false,running,63.109449,64.090718,0.322138,27.769849,24.362253
single,0,,extension,1001,3,51,80.0,30.0,1.0,true,2109,102,67.216378,4.836415,144,11,0.005216,0,false,running,66.589394,67.820262,0.356423,28.055529,24.239609
single,0,,extension,1001,4,51,80.0,30.0,1.0,true,2109,60,70.125428,2.844950,99,3,0.001422,0,false,running,69.446064,70.775237,0.382875,28.408898,24.067693
single,0,,extension,1001,5,51,80.0,30.0,1.0,true,2109,39,71.756487,1.849218,56,4,0.001897,0,false,running,71.202210,72.289831,0.398975,28.445530,24.108170
single,0,,extension,1001,6,51,80.0,30.0,1.0,true,2109,25,72.680633,1.185396,39,0,0.000000,0,false,running,72.092008,73.244941,0.409353,28.489746,23.999494
single,0,,extension,1001,7,51,80.0,30.0,1.0,true,2109,14,73.171079,0.663822,22,3,0.001422,0,false,running,72.597761,73.720898,0.413234,28.599681,23.934702
single,0,,extension,1001,8,51,80.0,30.0,1.0,true,2109,13,73.311531,0.616406,12,2,0.000948,0,false,running,72.737836,73.861579,0.413240,28.645262,23.860981
single,0,,extension,1001,9,51,80.0,30.0,1.0,true,2109,10,73.527738,0.474158,13,0,0.000000,0,false,running,72.930909,74.098817,0.416983,28.673959,23.848334
single,0,,extension,1001,10,51,80.0,30.0,1.0,true,2109,9,73.638561,0.426743,10,0,0.000000,0,false,running,73.028804,74.221357,0.420695,28.665914,23.856620
single,0,,extension,1001,11,51,80.0,30.0,1.0,true,2109,7,73.765827,0.331911,9,0,0.000000,0,false,running,73.143024,74.360400,0.420707,28.676458,23.822564
single,0,,extension,1001,12,51,80.0,30.0,1.0,true,2109,6,73.798692,0.284495,7,0,0.000000,0,false,running,73.208315,74.363611,0.421653,28.676805,23.836871
single,0,,extension,1001,13,51,80.0,30.0,1.0,true,2109,4,73.895126,0.189663,5,1,0.000474,0,false,running,73.303299,74.461282,0.421653,28.671643,23.783744
single,0,,extension,1001,14,51,80.0,30.0,1.0,true,2109,3,73.959369,0.142248,4,0,0.000000,0,false,running,73.345936,74.545202,0.422604,28.671643,23.761935
single,0,,extension,1001,15,51,80.0,30.0,1.0,true,2109,2,74.048295,0.094832,3,0,0.000000,0,false,running,73.409984,74.656679,0.422604,28.671643,23.762319
single,0,,extension,1001,16,51,80.0,30.0,1.0,true,2109,1,74.101945,0.047416,2,0,0.000000,0,false,running,73.480663,74.694784,0.422604,28.663241,23.765742
single,0,,extension,1001,17,51,80.0,30.0,1.0,true,2109,0,74.179804,0.000000,1,0,0.000000,0,true,converged,73.544820,74.785021,0.423556,28.663241,23.739048
