run_id,repetition,treatment,mode,seed,tick,size,density,similar_wanted,income_gap,use_affordability,population,unhappy_count,percent_similar,percent_unhappy,moved_count,stuck_unhappy,stuck_unhappy_fraction,no_movement_ticks,converged,termination_reason,isolation_blue,isolation_orange,dissimilarity,mean_rent_blue,mean_rent_orange
single,0,,baseline,1000,0,51,80.0,30.0,0.0,true,2078,362,50.593004,17.420597,0,0,0.000000,0,false,running,49.454769,51.681104,0.198897,0.000000,0.000000
single,0,,baseline,1000,1,51,80.0,30.0,0.0,true,2078,202,59.517709,9.720885,339,0,0.000000,0,false,running,58.587727,60.406840,0.273642,0.000000,0.000000
single,0,,baseline,1000,2,51,80.0,30.0,0.0,true,2078,129,64.615616,6.207892,189,0,0.000000,0,false,running,64.025696,65.186501,0.329102,0.000000,0.000000
single,0,,baseline,1000,3,51,80.0,30.0,0.0,true,2078,85,68.157855,4.090472,123,0,0.000000,0,false,running,67.596567,68.700030,0.367543,0.000000,0.000000
single,0,,baseline,1000,4,51,80.0,30.0,0.0,true,2078,64,70.082645,3.079885,79,0,0.000000,0,false,running,69.635504,70.516807,0.383823,0.000000,0.000000
single,0,,baseline,1000,5,51,80.0,30.0,0.0,true,2078,48,71.615131,2.309913,60,0,0.000000,0,false,running,71.178174,72.039036,0.401429,0.000000,0.000000
single,0,,baseline,1000,6,51,80.0,30.0,0.0,true,2078,33,73.155369,1.588065,44,0,0.000000,0,false,running,72.486935,73.792094,0.412912,0.000000,0.000000
single,0,,baseline,1000,7,51,80.0,30.0,0.0,true,2078,24,73.952096,1.154957,30,0,0.000000,0,false,running,73.378213,74.501758,0.425446,0.000000,0.000000
single,0,,baseline,1000,8,51,80.0,30.0,0.0,true,2078,14,74.693572,0.673725,23,0,0.000000,0,false,running,74.093344,75.266618,0.428910,0.000000,0.000000
single,0,,baseline,1000,9,51,80.0,30.0,0.0,true,2078,13,74.928945,0.625602,14,0,0.000000,0,false,running,74.380923,75.454013,0.429925,0.000000,0.000000
single,0,,baseline,1000,10,51,80.0,30.0,0.0,true,2078,10,75.209330,0.481232,10,0,0.000000,0,false,running,74.609495,75.781478,0.432796,0.000000,0.000000
single,0,,baseline,1000,11,51,80.0,30.0,0.0,true,2078,6,75.362319,0.288739,10,0,0.000000,0,false,running,74.727969,75.965603,0.435631,0.000000,0.000000
single,0,,baseline,1000,12,51,80.0,30.0,0.0,true,2078,5,75.635657,0.240616,6,0,0.000000,0,false,running,75.019169,76.222449,0.436577,0.000000,0.000000
single,0,,baseline,1000,13,51,80.0,30.0,0.0,true,2078,4,75.598444,0.192493,5,0,0.000000,0,false,running,74.980825,76.186305,0.437522,0.000000,0.000000
single,0,,baseline,1000,14,51,80.0,30.0,0.0,true,2078,3,75.665570,0.144370,3,0,0.000000,0,false,running,75.065134,76.237768,0.438502,0.000000,0.000000
single,0,,baseline,1000,15,51,80.0,30.0,0.0,true,2078,1,75.893525,0.048123,3,0,0.000000,0,false,running,75.268487,76.487748,0.440780,0.000000,0.000000
single,0,,baseline,1000,16,51,80.0,30.0,0.0,true,2078,0,75.938388,0.000000,1,0,0.000000,0,true,converged,75.303147,76.541770,0.441408,0.000000,0.000000
