run_id,repetition,treatment,mode,seed,tick,size,density,similar_wanted,income_gap,use_affordability,population,unhappy_count,percent_similar,percent_unhappy,moved_count,stuck_unhappy,stuck_unhappy_fraction,no_movement_ticks,converged,termination_reason,isolation_blue,isolation_orange,dissimilarity,mean_rent_blue,mean_rent_orange
single,0,,extension,1002,0,51,80.0,30.0,1.0,true,2078,536,51.363568,25.794033,0,0,0.000000,0,false,running,49.688279,52.930884,0.199871,28.772217,28.626492
single,0,,extension,1002,1,51,80.0,30.0,1.0,true,2078,242,58.441746,11.645813,521,15,0.007218,0,false,running,56.485546,60.229631,0.268801,27.364338,24.162582
single,0,,extension,1002,2,51,80.0,30.0,1.0,true,2078,129,64.753860,6.207892,225,17,0.008181,0,false,running,62.734832,66.565350,0.319029,27.791927,24.121447
single,0,,extension,1002,3,51,80.0,30.0,1.0,true,2078,77,67.732983,3.705486,119,10,0.004812,0,false,running,65.831400,69.434067,0.346624,27.966106,23.949479
single,0,,extension,1002,4,51,80.0,30.0,1.0,true,2078,45,70.358449,2.165544,72,5,0.002406,0,false,running,68.598884,71.931283,0.376741,28.110308,24.032497
single,0,,extension,1002,5,51,80.0,30.0,1.0,true,2078,29,71.185695,1.395573,44,1,0.000481,0,false,running,69.472050,72.717180,0.385556,28.204190,23.929456
single,0,,extension,1002,6,51,80.0,30.0,1.0,true,2078,19,72.153012,0.914341,25,4,0.001925,0,false,running,70.451011,73.669623,0.392458,28.254113,23.941431
single,0,,extension,1002,7,51,80.0,30.0,1.0,true,2078,20,72.259672,0.962464,16,3,0.001444,0,false,running,70.601025,73.741157,0.395857,28.323849,23.957287
single,0,,extension,1002,8,51,80.0,30.0,1.0,true,2078,10,73.009823,0.481232,19,1,0.000481,0,false,running,71.444083,74.412787,0.402633,28.399189,23.973776
single,0,,extension,1002,9,51,80.0,30.0,1.0,true,2078,4,73.492739,0.192493,10,0,0.000000,0,false,running,71.919192,74.899292,0.406424,28.411342,23.980877
single,0,,extension,1002,10,51,80.0,30.0,1.0,true,2078,2,73.591549,0.096246,4,0,0.000000,0,false,running,72.049689,74.972191,0.408414,28.432351,23.986795
single,0,,extension,1002,11,51,80.0,30.0,1.0,true,2078,2,73.617833,0.096246,2,0,0.000000,0,false,running,72.078224,74.996525,0.408414,28.448272,23.963055
single,0,,extension,1002,12,51,80.0,30.0,1.0,true,2078,0,73.644093,0.000000,2,0,0.000000,0,true,converged,72.089413,75.034713,0.408414,28.448272,23.959200
