"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"netlogo/Segregation.nlogox"
"segregation-reference"
"05/23/2026 18:09:07:472 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","density","%-similar-wanted","[step]","ticks","count turtles","percent-similar","percent-unhappy","count turtles with [not happy?]"
"91","old","70","30","11","11","1807","71.43428685737148","0","0"
"92","old","70","30","8","8","1849","72.29551451187335","0","0"
"96","old","70","30","11","11","1799","72.63869556571883","0","0"
"94","old","70","30","10","10","1805","73.64418651190714","0","0"
"95","old","70","30","12","12","1805","70.29072082835523","0","0"
"93","old","70","30","16","16","1824","71.6796875","0","0"
"97","old","70","30","10","10","1781","71.88194865575096","0","0"
"99","old","70","30","10","10","1785","71.86103210077205","0","0"
"98","old","70","30","15","15","1806","71.81406342328145","0","0"
"100","old","70","30","11","11","1830","71.10082899556583","0","0"
"101","old","70","30","10","10","1823","70.94896176984281","0","0"
"103","old","70","30","11","11","1817","71.11721971333202","0","0"
"102","old","70","30","18","18","1843","71.60823170731707","0","0"
"104","old","70","30","13","13","1830","73.53511835467597","0","0"
"105","old","70","30","13","13","1829","71.84654136795194","0","0"
"107","old","70","30","10","10","1795","71.7163577759871","0","0"
"108","old","70","30","11","11","1814","72.67567038559405","0","0"
"109","old","70","30","11","11","1816","73.13019390581718","0","0"
"106","old","70","30","16","16","1864","73.74976761479829","0","0"
"111","old","70","30","9","9","1845","71.56190476190476","0","0"
"110","old","70","30","12","12","1832","71.65078747812561","0","0"
"113","old","70","30","11","11","1827","75.53356616220411","0","0"
"112","old","70","30","19","19","1809","71.89296333002973","0","0"
"114","old","70","30","12","12","1829","72.63219058686809","0","0"
"115","old","70","30","12","12","1837","71.9224121375072","0","0"
"117","old","70","30","13","13","1827","71.93359375","0","0"
"116","old","70","30","17","17","1839","73.19019570587118","0","0"
"119","old","70","30","10","10","1850","72.03630175836642","0","0"
"118","old","70","30","14","14","1830","70.39309683604985","0","0"
"121","old","70","35","12","12","1811","79.47971267715008","0","0"
"122","old","70","35","12","12","1866","79.07703621989336","0","0"
"120","old","70","30","15","15","1846","72.13551579748763","0","0"
"123","old","70","35","15","15","1856","79.02466578798719","0","0"
"125","old","70","35","12","12","1821","78.71401151631477","0","0"
"126","old","70","35","13","13","1828","79.9543118218161","0","0"
"127","old","70","35","14","14","1828","80.0498753117207","0","0"
"124","old","70","35","21","21","1820","79.89601386481803","0","0"
"128","old","70","35","14","14","1823","80.14551024315527","0","0"
"129","old","70","35","17","17","1831","78.31462811489442","0","0"
"130","old","70","35","13","13","1796","79.11367249602543","0","0"
"131","old","70","35","15","15","1790","79.0608625554212","0","0"
"133","old","70","35","13","13","1815","79.78184651343982","0","0"
"132","old","70","35","14","14","1848","79.52057380143451","0","0"
"134","old","70","35","11","11","1776","82.0125025206695","0","0"
